constituency,ward
Narok East,Ildamat
Narok East,Keekonyokie
Narok East,Suswa
Narok South,Majimoto/Naroosura
Narok South,Ololulung'a
Narok South,Melelo
Narok South,Loita
Narok South,Sogoo
Narok South,Sagamian
Narok West,Ilmotiok
Narok West,Mara
Narok West,Siana
Narok West,Naikarra
Kajiado North,Olkeri
Kajiado North,Ongata Rongai
Kajiado North,Nkaimurunya
Kajiado North,Oloolua
Kajiado North,Ngong
Kajiado Central,Purko
Kajiado Central,Ildamat
Kajiado Central,Dalalekutuk
Kajiado Central,Matapato North
Kajiado Central,Matapato South
Kajiado East,Kaputiei North
Kajiado East,Kitengela
Kajiado East,Oloosirkon/Sholinke
Kajiado East,Kenyawa-Poka
Kajiado East,Imaroro
Kajiado West,Keekonyokie
Kajiado West,Iloodokilani
Kajiado West,Magadi
Kajiado West,Ewuaso Oonkidong'i
Kajiado West,Mosiro
Kajiado South,Entonet/Lenkisim
Kajiado South,Mbirikani/Eselenkei
Kajiado South,Kuku
Kajiado South,Rombo
Kajiado South,Kimana
Kipkelion East,Londiani
Kipkelion East,Kedowa/Kimugul
Kipkelion East,Chepseon
Kipkelion East,Tendeno/Sorget
Kipkelion West,Kunyak
Kipkelion West,Kamasian
Kipkelion West,Kipkelion
Kipkelion West,Chilchila
Ainamoi,Kapsoit
Ainamoi,Ainamoi
Ainamoi,Kapkugerwet
Ainamoi,Kipchebor
Ainamoi,Kipchimchim
Ainamoi,Kapsaos
Bureti,Kisiara
Bureti,Tebesonik
Bureti,Cheboin
Bureti,Chemosot
Bureti,Litein
Bureti,Cheplanget
Bureti,Kapkatet
Belgut,Waldai
Belgut,Kabianga
Belgut,Cheptororiet/Seretut
Belgut,ChAIk
Belgut,Kapsuser
Sigowet/Soin,Sigowet
Sigowet/Soin,Kaplelartet
Sigowet/Soin,SolIAt
Sigowet/Soin,Soin
Sotik,NdanAI/Abosi
Sotik,Chemagel
Sotik,KipsonOI
Sotik,Kapletundo
Sotik,Rongena/Manaret
Chepalungu,Kong'asis
Chepalungu,Nyangores
Chepalungu,Sigor
Chepalungu,Chebunyo
Chepalungu,Siongiroi
Bomet East,Merigi
Bomet East,Kembu
Bomet East,LongisA
Bomet East,Kipreres
Bomet East,Chemaner
Bomet Central,Silibwet Township
Bomet Central,Ndaraweta
Bomet Central,Singorwet
Bomet Central,Chesoen
Bomet Central,Mutarakwa
Konoin,Chepchabas
Konoin,Kimulot
Konoin,Mogogosiek
Konoin,Boito
Konoin,Embomos
Lugari,Mautuma
Lugari,Lugari
Lugari,Lumakanda
Lugari,Chekalini
Lugari,Chevaywa
Lugari,Lwandeti
Likuyani,Likuyani
Likuyani,Sango
Likuyani,Kongoni
Likuyani,Nzoia
Likuyani,Sinoko
Malava,West Kabras
Malava,Chemuche
Malava,East Kabras
Malava,Butali/Chegulo
Malava,Manda-Shivanga
Malava,Shirugu-Mugai
Malava,South Kabras
Lurambi,Butsotso East
Lurambi,Butsotso South
Lurambi,Butsotso Central
Lurambi,Sheywe
Lurambi,Mahiakalo
Lurambi,Shirere
Navakholo,Ingostse-Mathia
Navakholo,Shinoyi-Shikomari-Esumeyia
Navakholo,Bunyala West
Navakholo,Bunyala East
Navakholo,Bunyala Central
Mumias West,Mumias Central
Mumias West,Mumias North
Mumias West,Etenje
Mumias West,Musanda
Mumias East,Lusheya/Lubinu
Mumias East,Malaha/Isongo/Makunga
Mumias East,East Wanga
Matungu,Koyonzo
Matungu,Kholera
Matungu,Khalaba
Matungu,Mayoni
Matungu,Namamali
Butere,Marama West
Butere,Marama Central
Butere,Marenyo - Shianda
Butere,Marama North
Butere,Marama South
Khwisero,Kisa North
Khwisero,Kisa East
Khwisero,Kisa West
Khwisero,Kisa Central
Shinyalu,Isukha North
Shinyalu,Murhanda
Shinyalu,Isukha Central
Shinyalu,Isukha South
Shinyalu,Isukha East
Shinyalu,Isukha West
Ikolomani,Idakho South
Ikolomani,Idakho East
Ikolomani,Idakho North
Ikolomani,Idakho Central
Vihiga,Lugaga-Wamuluma
Vihiga,South Maragoli
Vihiga,Central Maragoli
Vihiga,Mungoma
Sabatia,Lyaduywa/Izava
Sabatia,West Sabatia
Sabatia,Chavakali
Sabatia,North Maragoli
Sabatia,Wodanga
Sabatia,Busali
Hamisi,Shiru
Hamisi,Gisambai
Hamisi,Shakhokhoko
Hamisi,Banja
Hamisi,Muhudu
Hamisi,Tambua
Hamisi,Jepkoyai
Luanda,Luanda Township
Luanda,Wemilabi
Luanda,Mwibona
Luanda,Luanda South
Luanda,Emabungo
Emuhaya,North East Bunyore
Emuhaya,Central Bunyore
Emuhaya,West Bunyore
Mt. Elgon,Cheptais
Mt. Elgon,Chesikaki
Mt. Elgon,Chepyuk
Mt. Elgon,Kapkateny
Mt. Elgon,Kaptama
Mt. Elgon,Elgon
Sirisia,Namwela
Sirisia,Malakisi/South Kulisiru
Sirisia,Lwandanyi
Kabuchai,Kabuchai/Chwele
Kabuchai,West Nalondo
Kabuchai,Bwake/Luuya
Kabuchai,Mukuyuni
Bumula,South Bukusu
